,Data,ID,t_Atendimento_min,t_Projetos_min,t_Logado_min,Disp_%,Meta_Disp,Pontuação,Atraso
7834,2022-02-17,a1R1L000008deewUAA,0,480,0,33,-,0,-
7835,2022-02-17,a1R1L000008deexUAA,390,0,359,28,Não Bateu,-8,Sim
7836,2022-02-17,a1R1L000008deeyUAA,0,0,0,33,-,0,-
7837,2022-02-17,a1R1L000008defAUAQ,420,60,380,52,Não Bateu,-18,Sim
7838,2022-02-17,a1R1L000008dfbNUAQ,0,480,0,33,-,0,-
7839,2022-02-17,a1R1L000008dfbPUAQ,420,0,1305,64,Não Bateu,-14,Sim
7840,2022-02-17,a1R1L000008dfbRUAQ,480,0,416,44,Não Bateu,-22,Sim
7841,2022-02-17,a1R1L000008dfbSUAQ,450,0,392,43,Não Bateu,-21,Sim
7842,2022-02-17,a1R1L000008dfjvUAA,390,60,0,0,Não Bateu,-20,Não
7843,2022-02-17,a1R1L000008dfmGUAQ,420,0,0,0,Não Bateu,-19,Não
7844,2022-02-17,a1R1L000008dfmQUAQ,420,0,399,29,Não Bateu,-20,Não
7845,2022-02-17,a1R1L000008dfmaUAA,420,0,281,18,Não Bateu,-20,Não
7846,2022-02-17,a1R1L000008dfnOUAQ,420,0,0,33,-,0,-
7847,2022-02-17,a1R1L000008dfnTUAQ,360,60,200,5,Não Bateu,-20,Sim
7848,2022-02-17,a1R1L000008dhv2UAA,450,0,398,32,Não Bateu,-18,Sim
7849,2022-02-17,a1R1L000008dhvDUAQ,480,0,436,44,Não Bateu,-19,Sim
7850,2022-02-17,a1R1L000008dhvFUAQ,0,0,273,33,-,0,-
7851,2022-02-17,a1R1L000008eTN1UAM,480,0,438,46,Não Bateu,-16,Sim
7852,2022-02-17,a1R1L000008eTNJUA2,330,0,310,25,Não Bateu,-6,Não
7853,2022-02-17,a1R1L000008eTNNUA2,480,0,443,57,Não Bateu,-5,Sim
7854,2022-02-17,a1R1L00000F91tAUAR,390,0,347,28,Não Bateu,-17,Sim
7855,2022-02-17,a1R1L00000F91tDUAR,420,60,367,36,Não Bateu,-18,Sim
7856,2022-02-17,a1R1L00000F91tEUAR,0,0,0,33,-,0,-
7857,2022-02-17,a1R1L00000F91tRUAR,480,0,155,24,Não Bateu,-14,Sim
7858,2022-02-17,a1R1L00000F91tSUAR,450,0,411,22,Não Bateu,-17,Sim
7859,2022-02-17,a1R1L00000F91thUAB,480,0,405,40,Não Bateu,-21,Sim
7860,2022-02-17,a1R1L00000F91toUAB,390,0,355,32,Não Bateu,-21,Sim
7861,2022-02-17,a1R3j000002b5iREAQ,390,0,328,32,Não Bateu,-17,Não
7862,2022-02-17,a1R3j000002b5igEAA,0,0,0,33,-,0,-
7863,2022-02-17,a1R3j000002b5ijEAA,450,0,0,33,-,0,-
7864,2022-02-17,a1R3j000002b5ikEAA,330,0,296,26,Não Bateu,-19,Não
7865,2022-02-17,a1R3j000002b5inEAA,450,0,418,37,Não Bateu,-17,Sim
7866,2022-02-17,a1R3j000002b5j5EAA,450,0,410,44,Não Bateu,-17,Sim
7867,2022-02-17,a1R3j000002b5j8EAA,390,60,322,15,Não Bateu,-21,Sim
7868,2022-02-17,a1R3j000002b5j9EAA,120,60,113,0,Não Bateu,-7,Não
7869,2022-02-17,a1R3j000002b5jCEAQ,450,0,413,36,Não Bateu,-19,Sim
